2024/03/30:01:29:54	82.127.237.219	ByZ2tGfsmN5C7Yi	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:12:59	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:13:08	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:14:09	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:15:11	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:16:08	78.196.180.245	PtOlDLNxFVYHGrL	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:32:33	86.204.65.66	8ABzGmtIk2V5J9j	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:33:09	86.204.65.66	8ABzGmtIk2V5J9j	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:34:32	86.204.65.66	8ABzGmtIk2V5J9j	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:06:51:55	46.193.64.212	WvRSYj1neyeBzQ1	proxy	www.cairn.info	https://www.cairn.info/load_pdf.php?ID_ARTICLE=RFDC_060_0695
2024/03/30:06:52:17	46.193.64.212	WvRSYj1neyeBzQ1	proxy	www.cairn.info	https://www.cairn.info/load_pdf.php?ID_ARTICLE=RFDC_060_0695
2024/03/30:06:58:15	46.193.64.212	WvRSYj1neyeBzQ1	proxy	www.cairn.info	https://www.cairn.info/revue-civitas-europa-2018-1-page-281.htm
2024/03/30:07:01:42	92.184.102.20	pJj8MgvNPXePh4v	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:07:07:51	88.168.53.205	5AqieUYdEtbSNuB	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:07:22:42	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:23:05	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	www.cairn.info	https://www.cairn.info/liste-des-ouvrages.php
2024/03/30:07:23:26	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:23:55	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:24:47	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:25:04	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:25:36	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	bibliotheque.lefebvre-dalloz.fr	https://bibliotheque.lefebvre-dalloz.fr/secure
2024/03/30:07:26:47	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:29:43	86.216.255.112	HsraQVcKikQ3wuZ	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:30:06	86.211.30.93	L8TZAX5ZsdkYzEc	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:34:47	77.145.172.198	NGUXl4cBVyVAKAw	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:07:36:09	86.211.30.93	LH4a3O76bs7755F	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:37:15	86.211.30.93	LH4a3O76bs7755F	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:38:27	86.211.30.93	LH4a3O76bs7755F	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:07:38:33	46.193.64.212	WvRSYj1neyeBzQ1	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:07:39:29	86.211.30.93	LH4a3O76bs7755F	proxy	www.cairn.info	https://www.cairn.info/liste-des-que-sais-je-et-reperes.php
2024/03/30:07:58:44	92.92.161.54	izDboI578qQD20r	proxy	studia.universita.corsica	https://studia.universita.corsica/plugins/ress_electronique_bu/ress_electronique_bu-front.php?acces=ok&id_art=388&id_rub=143&header_plugin=ok
2024/03/30:07:59:08	86.211.30.93	LH4a3O76bs7755F	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:08:34:00	92.92.215.36	yjntms38AwF3bwm	proxy	www.sciencedirect.com	https://www.sciencedirect.com/
2024/03/30:08:47:40	86.204.65.66	k6GYIxDkxM5uF1o	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:09:10:12	77.145.172.198	NGUXl4cBVyVAKAw	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:09:10:52	77.145.172.198	NGUXl4cBVyVAKAw	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:09:11:32	77.145.172.198	NGUXl4cBVyVAKAw	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:09:11:42	77.145.172.198	NGUXl4cBVyVAKAw	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:09:14:05	86.211.30.93	4ltj7tNrupWTGx8	proxy	pubs.acs.org	https://pubs.acs.org
2024/03/30:09:16:18	86.211.30.93	4ltj7tNrupWTGx8	proxy	www.oxfordjournals.org	https://www.oxfordjournals.org/
2024/03/30:09:18:52	86.211.30.93	4ltj7tNrupWTGx8	proxy	publications.edpsciences.org	https://publications.edpsciences.org
2024/03/30:09:20:04	86.211.30.93	4ltj7tNrupWTGx8	proxy	www.sciencedirect.com	https://www.sciencedirect.com/
2024/03/30:09:42:12	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/EL/sharp_TRANSVERSE/thematic/css/thematique-phoenix.css?version=1.0.0
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/CONF/SITES/CONFIG/HEADER/DZDALLOZ/logo_dalloz_new.svg
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/DZ/sharp_TRANSVERSE/CONFIG/CSS/DZDALLOZ/hulk_dzdalloz-home-phoenix.css
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/CONF/SITES/CONFIG/HEADER/DZDALLOZ/logo-etudiants.png
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/CONF/SITES/CONFIG/FOOTER/DZDALLOZ/footer.css
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/DZ/sharp_TRANSVERSE/block/css/common-block.css
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/CONF/SITES/CONFIG/FOOTER/DZDALLOZ/img/dalloz.png
2024/03/30:09:42:16	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/CONF/SITES/CONFIG/FOOTER/DZDALLOZ/img/dalloz-actus.png
2024/03/30:09:42:17	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/DZ/sharp_TRANSVERSE/block/img/bibliotheque.png
2024/03/30:09:42:17	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr/hulkStatic/DZ/sharp_TRANSVERSE/block/img/revues.png
2024/03/30:09:57:04	92.150.106.12	B9XBuZHSo0bmyz4	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:09:57:21	92.150.106.12	B9XBuZHSo0bmyz4	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:09:58:58	92.150.106.12	B9XBuZHSo0bmyz4	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:09:59:45	92.150.106.12	B9XBuZHSo0bmyz4	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:10:21:50	109.208.208.96	a4SyS3hm3T6mV1E	proxy	www.cairn.info	https://www.cairn.info/listerev.php
2024/03/30:10:50:27	91.175.69.161	7T3TFtHPxk8xCCb	proxy	univ-corse.biblioondemand.com	https://univ-corse.biblioondemand.com/
2024/03/30:11:32:08	92.92.161.54	BUaNRol6LcPaXRT	proxy	studia.universita.corsica	https://studia.universita.corsica/plugins/ress_electronique_bu/ress_electronique_bu-front.php?acces=ok&id_art=388&id_rub=143&header_plugin=ok
2024/03/30:11:32:37	92.92.161.54	BUaNRol6LcPaXRT	proxy	studia.universita.corsica	https://studia.universita.corsica/plugins/ress_electronique_bu/ress_electronique_bu-front.php?acces=ok&id_art=388&id_rub=143&header_plugin=ok
2024/03/30:11:33:35	92.92.161.54	BUaNRol6LcPaXRT	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:11:55:56	92.92.161.54	BUaNRol6LcPaXRT	proxy	www.cairn.info	https://www.cairn.info/liste-des-que-sais-je-et-reperes.php
2024/03/30:12:06:33	81.220.202.184	eGGvVpgdveMhnXB	proxy	search.ebscohost.com	https://search.ebscohost.com/?authtype=ip&custid=ns196131&groupid=main&profid=eds&returnToUrl=%2feds%2fsearch%2fadvanced%3fvid%3d10%26sid%3d40994d05-1676-4e14-87bb-1e9e46e98d5e%2540redis&vid=10&sid=40994d05-1676-4e14-87bb-1e9e46e98d5e@redis&lang=fr
2024/03/30:12:09:56	81.220.202.184	eGGvVpgdveMhnXB	proxy	search.ebscohost.com	https://search.ebscohost.com/login.aspx?authtype=ip,guest&profid=eds&custid=ns196131&groupid=main&setup=1
2024/03/30:12:10:24	77.145.172.198	NGUXl4cBVyVAKAw	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:12:12:17	145.242.20.109	lBL0NxOWCUJ2BCo	proxy	www.lamyline.fr	https://www.lamyline.fr/Content/Inicio.aspx?DATA=t0wYABJ3rqrbmIABJzwNyn
2024/03/30:12:12:20	145.242.20.109	lBL0NxOWCUJ2BCo	proxy	abonnes.efl.fr	https://abonnes.efl.fr
2024/03/30:12:13:35	92.92.161.54	BUaNRol6LcPaXRT	proxy	www.cairn.info	https://www.cairn.info/liste-des-que-sais-je-et-reperes.php
2024/03/30:12:19:12	92.150.102.246	PjQoLLEzbdM9meE	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:12:21:39	109.221.79.242	66A9kszvSVcav8D	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:12:25:26	109.221.79.242	66A9kszvSVcav8D	proxy	bibliotheque.lefebvre-dalloz.fr	https://bibliotheque.lefebvre-dalloz.fr/secure
2024/03/30:12:27:32	145.242.20.109	lBL0NxOWCUJ2BCo	proxy	abonnes.efl.fr	https://abonnes.efl.fr
2024/03/30:12:27:47	86.204.98.173	T7dW7fVfqAVWNMR	proxy	www.openedition.org	https://www.openedition.org/
2024/03/30:12:27:48	145.242.20.109	lBL0NxOWCUJ2BCo	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:12:27:48	86.204.98.173	T7dW7fVfqAVWNMR	proxy	univ.scholarvox.com	http://univ.scholarvox.com
2024/03/30:12:28:56	145.242.20.109	lBL0NxOWCUJ2BCo	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:12:37:28	92.92.215.24	p2hCmpiVpYsDaVS	proxy	www.cairn.info	https://www.cairn.info/revue-management-et-avenir-2011-1-page-294.htm
2024/03/30:12:39:19	92.184.104.197	aRQLnnNxhARUjis	proxy	www.cairn.info	https://www.cairn.info/liste-des-ouvrages.php
2024/03/30:12:39:33	86.204.65.66	bgH0mwwtbYC1vhe	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:12:43:24	145.242.20.109	lBL0NxOWCUJ2BCo	proxy	bibliotheque.lefebvre-dalloz.fr	https://bibliotheque.lefebvre-dalloz.fr/secure
2024/03/30:12:45:52	109.221.79.242	66A9kszvSVcav8D	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:12:48:34	109.221.79.242	66A9kszvSVcav8D	proxy	univ.scholarvox.com	http://univ.scholarvox.com
2024/03/30:12:51:26	92.184.112.85	njTiRlbYkOCLfIv	proxy	academic.eb.com	https://academic.eb.com
2024/03/30:12:51:32	92.184.112.85	njTiRlbYkOCLfIv	proxy	www.universalis-edu.com	https://www.universalis-edu.com/
2024/03/30:12:52:39	92.92.215.24	p2hCmpiVpYsDaVS	proxy	www.cairn.info	https://www.cairn.info/
2024/03/30:13:01:12	109.221.79.242	66A9kszvSVcav8D	proxy	www.lamyline.fr	https://www.lamyline.fr/Content/Inicio.aspx?DATA=t0wYABJ3rqrbmIABJzwNyn
2024/03/30:13:14:30	92.184.102.57	sBA2cONiOszOntR	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:13:14:41	92.184.102.57	sBA2cONiOszOntR	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:13:14:48	92.184.102.57	sBA2cONiOszOntR	proxy	quest.britannica.fr	http://quest.britannica.fr
2024/03/30:13:16:52	92.184.102.57	sBA2cONiOszOntR	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:13:17:03	92.184.102.57	sBA2cONiOszOntR	proxy	www.retronews.fr	https://www.retronews.fr/rn-api/proxy-login?token=MTU3NTkwODIzM3JuX2dyYW5kY29tcHRlX3NpbXBsZV9sb2dpbjQwMzQ4MQ==
2024/03/30:13:22:17	86.211.74.233	XjK9QRnDfxZqxtI	proxy	www.cairn.info	https://www.cairn.info/organisez-vos-notes-avec-le-mind-mapping--9782100746002-p-33.htm
2024/03/30:13:22:31	86.211.74.233	XjK9QRnDfxZqxtI	proxy	www.cairn.info	https://www.cairn.info/organisez-vos-notes-avec-le-mind-mapping--9782100746002-p-9.htm
2024/03/30:13:32:45	92.184.102.57	sBA2cONiOszOntR	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:13:32:58	92.184.102.57	sBA2cONiOszOntR	proxy	www.techniques-ingenieur.fr	https://www.techniques-ingenieur.fr/
2024/03/30:14:04:35	92.92.161.54	JRCYzaZk09JH1v4	proxy	studia.universita.corsica	https://studia.universita.corsica/plugins/ress_electronique_bu/ress_electronique_bu-front.php?acces=ok&id_art=388&id_rub=143&header_plugin=ok
2024/03/30:14:05:37	92.92.161.54	JRCYzaZk09JH1v4	proxy	abonnes.efl.fr	https://abonnes.efl.fr
2024/03/30:14:06:01	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:14:07:34	86.211.30.93	forIq3clshLSIuW	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:14:08:26	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:14:12:25	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:14:15:38	90.8.34.29	RJZ9FWHxjdRZuDm	proxy	www.stradalex.eu	https://www.stradalex.eu
2024/03/30:14:17:51	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:14:23:48	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:14:29:11	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.labase-lextenso.fr	https://www.labase-lextenso.fr
2024/03/30:14:37:01	92.92.161.54	JRCYzaZk09JH1v4	proxy	www.lamyline.fr	https://www.lamyline.fr/Content/Inicio.aspx?DATA=t0wYABJ3rqrbmIABJzwNyn
2024/03/30:15:43:02	86.204.14.87	k83M40M6YSr6skI	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:15:54:22	86.216.255.112	mK7CZZ5OOUAnt9E	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:15:54:45	86.216.255.112	mK7CZZ5OOUAnt9E	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:15:56:08	86.216.255.112	GVKVFLC6rGJuxUH	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:15:56:57	86.216.255.112	GVKVFLC6rGJuxUH	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:01:41	92.184.102.180	wKmLxteLcpvpANK	proxy	portail.universita.corsica	https://portail.universita.corsica/stockage_public/portail/baaaatfb/images/Bibliotheque/buext.jpg
2024/03/30:16:36:11	92.92.215.36	bURtCHrX70KhiAq	proxy	www.sciencedirect.com	https://www.sciencedirect.com/
2024/03/30:16:37:56	86.216.255.112	DvoXWjBPGZT3n43	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:38:30	86.216.255.112	DvoXWjBPGZT3n43	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:39:23	86.216.255.112	DvoXWjBPGZT3n43	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:40:33	92.184.104.251	UzRGkg32YRKuB4b	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:40:42	92.184.104.251	UzRGkg32YRKuB4b	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:46:53	37.166.69.58	mVblTsOloW9jBFx	proxy	www.dalloz.fr	https://www.dalloz.fr
2024/03/30:16:49:14	86.216.255.112	NQYIn58AoVIUnRm	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:16:50:54	86.216.255.112	NQYIn58AoVIUnRm	proxy	nouveau.europresse.com	https://nouveau.europresse.com/access/ip/default.aspx?un=CORTET_1
2024/03/30:18:16:25	86.229.119.17	if2QXfryKvBJ0Rm	proxy	portailweb.universita.corsica	https://portailweb.universita.corsica/plugins/auth/auth_cas/auth_cas.php?ticket=ST-12884-b0O7YAvSzgi9XIbFYhAII5C8H-g-CAS2023
